City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country
0,ola,59.5833,151.2833,1.0,73,100,1.06,RU
1,remire-montjoly,4.9167,-52.2667,27.02,78,75,2.06,GF
2,uturoa,-16.7333,-151.4333,27.97,78,31,8.26,PF
3,santa cruz,-17.8,-63.1667,15.7,82,100,3.09,BO
4,chimbarongo,-34.7,-71.05,5.49,67,0,1.14,CL
5,grytviken,-54.2811,-36.5092,3.29,98,100,4.74,GS
6,hedaru,-4.5,37.9,18.75,95,62,1.87,TZ
7,zakamensk,50.3741,103.2863,0.39,78,100,1.79,RU
8,pierre,44.3683,-100.351,23.51,28,0,5.14,US
9,plavsk,53.7094,37.2919,6.36,94,99,1.97,RU
10,susuman,62.7833,148.1667,-1.64,79,96,1.34,RU
11,bethel,41.3712,-73.414,10.93,76,98,1.02,US
12,qaqortoq,60.7167,-46.0333,0.4,72,67,0.5,GL
13,albany,42.6001,-73.9662,8.23,90,100,1.8,US
14,new norfolk,-42.7826,147.0587,14.4,75,26,1.0,AU
15,puerto ayora,-0.7393,-90.3518,27.53,91,4,1.34,EC
16,olonkinbyen,70.9221,-8.7187,-0.31,80,52,8.74,SJ
17,ust-nera,64.5667,143.2,0.28,81,95,2.49,RU
18,geraldton,-28.7667,114.6,21.23,43,75,2.06,AU
19,usinsk,65.9939,57.5281,2.35,98,100,7.49,RU
20,punta arenas,-53.15,-70.9167,8.06,76,40,10.29,CL
21,pimentel,-6.8367,-79.9342,24.16,78,0,7.2,PE
22,tolanaro,-25.0319,46.9987,21.04,88,40,4.12,MG
23,tiksi,71.6872,128.8694,-1.21,82,46,12.87,RU
24,vieux fort,13.7167,-60.95,27.62,77,75,6.69,LC
25,puerto natales,-51.7236,-72.4875,8.22,82,100,8.38,CL
26,hermanus,-34.4187,19.2345,13.78,85,0,0.97,ZA
27,hadibu,12.65,54.0333,28.63,78,100,1.57,YE
28,badger,64.8,-147.5333,7.93,49,75,5.14,US
29,pacific grove,36.6177,-121.9166,13.34,89,75,1.54,US
